name,cover,price,author,publisher,isbn,publish_date,pages,path
深宫缭乱,https://img.dushu.com/2020/01/02/113119620114042438.jpg_200.jpg,¥78.00,尤四姐 著,长江出版社,9787549268344,2020-01-01,616,深宫缭乱.jpg
道德经说什么2：无为才能有为 利他才是利己（罗大伦新书）,https://img.dushu.com/2020/01/02/113139599114045549.jpg_200.jpg,¥79.90,罗大伦，紫图出品 著,北京联合出版公司,9787559638441,2020-01-01,440,道德经说什么2：无为才能有为 利他才是利己（罗大伦新书）.jpg
中国方术续考（典藏本）,https://img.dushu.com/2020/01/02/113141199114041372.jpg_200.jpg,¥108.00,李零 著,中华书局,9787101127966,2019-12-01,,中国方术续考（典藏本）.jpg
中国近三百年学术史（校订本）,https://img.dushu.com/2020/01/02/113142183114047261.jpg_200.jpg,¥68.00,梁启超 著，俞国林 校,中华书局,9787101139402,2019-12-01,,中国近三百年学术史（校订本）.jpg
清代常州学术文化研究,https://img.dushu.com/2020/01/02/113143790114043085.jpg_200.jpg,¥93.00,杨旭辉 著,江苏人民出版社,9787214225658,2019-12-01,440,清代常州学术文化研究.jpg
民间法哲学论：一种中国特色法哲学建构论纲,https://img.dushu.com/2020/01/02/113145684114042147.jpg_200.jpg,¥98.00,姚选民 著,社会科学文献出版社,9787520155168,2019-12-01,256,民间法哲学论：一种中国特色法哲学建构论纲.jpg
从孔子到谢灵运：唐前士人精神史探索,https://img.dushu.com/2020/01/02/113146544114049781.jpg_200.jpg,¥58.00,程世和 著,中华书局,9787101142280,2019-12-01,311,从孔子到谢灵运：唐前士人精神史探索.jpg
闲话史记：解读司马迁史记,https://img.dushu.com/2020/01/02/11312690114048131.jpg_200.jpg,¥48.00,冯增录 著,世界图书出版公司,9787519261191,2019-12-01,,闲话史记：解读司马迁史记.jpg
国学之树：重新发现古中国人的思维智慧,https://img.dushu.com/2019/12/30/101224971119003533.jpg_200.jpg,¥58.00,许文胜 著,长江文艺出版社,9787570213375,2019-12-01,212,国学之树：重新发现古中国人的思维智慧.jpg
育婴员（高级）,https://img.dushu.com/2020/01/02/111734944114047151.jpg_200.jpg,¥33.00,人力资源社会保障部教材办公室 著,中国劳动社会保障出版社,9787516741726,2019-11-01,184,育婴员（高级）.jpg
健康一生,https://img.dushu.com/2019/12/30/100724253119001352.jpg_200.jpg,¥29.80,暂缺,上海交通大学出版社,9787313218582,2019-09-01,233,健康一生.jpg
青年必知百部世界名著精华读本,https://img.dushu.com/2006/05/27/0826044696228.jpg_200.jpg,¥345.60,张锋编著,延边人民出版社,9787806486818,2004-01-01,422页,青年必知百部世界名著精华读本.jpg
中国文学论著集目续编,https://a.dushu.com/img/n200.png,¥0.00,国立编译馆主编；王国良编,五南图书出版公司,9789571114712,1997-01-01,364页,中国文学论著集目续编.jpg
文学与玄学,https://img.dushu.com/2019/12/30/102857936119001363.jpg_200.jpg,¥59.00,唐翼明 著,广东人民出版社,9787218138947,2020-01-01,311,文学与玄学.jpg
魏晋风流,https://img.dushu.com/2019/12/30/102858872119006488.jpg_200.jpg,¥49.00,唐翼明 著,广东人民出版社,9787218137568,2020-01-01,167,魏晋风流.jpg
艺术文献集成：燕闲清赏笺,https://img.dushu.com/2019/12/16/102959640178481930.jpg_200.jpg,¥59.80,[明] 高濂撰 著,浙江人民美术出版社,9787534074899,2019-12-01,,艺术文献集成：燕闲清赏笺.jpg
世界名人名传：达尔文自传,https://img.dushu.com/2020/01/02/112207816114046863.jpg_200.jpg,¥22.00,[英] 达尔文 著，方华文 译,河南文艺出版社,9787555908227,2020-01-01,,世界名人名传：达尔文自传.jpg
海海人生：横尾忠则自传,https://img.dushu.com/2020/01/02/112231972114043922.jpg_200.jpg,¥72.00,[日] 横尾忠则 著,湖南美术出版社,9787535689368,2019-12-01,504,海海人生：横尾忠则自传.jpg
异奇物语赢家100%,https://img.dushu.com/2019/12/30/103044709119002337.jpg_200.jpg,¥38.00,高楼大厦 著,安徽文艺出版社,9787539667706,2019-10-01,307,异奇物语赢家100%.jpg
简单营销学,https://img.dushu.com/2019/12/30/102450509119006202.jpg_200.jpg,¥48.00,高恩强 著,民主与建设出 版社,9787513928465,2020-01-01,192,简单营销学.jpg
